id,FIPS,COUNTY,TESTED,POISONED5,PERC_POISONED5to10,POISONED10,PERC_POISONED_10_and_up,perc_poisoned_5_and_up,built_before_1950_pct,built_before_1980_pct,pop_under_6_years,screening_rate
1,55001,Adams,112,3,2.68,0,0,2.68,7.7,32.09,1017,11.01
2,55003,Ashland,161,4,2.48,2,1.24,3.73,38.98,62.25,1211,13.29
3,55005,Barron,173,2,1.16,1,0.58,1.73,28.06,52.91,3308,5.23
4,55007,Bayfield,86,2,2.33,1,1.16,3.49,22.44,46.96,805,10.68
5,55009,Brown,2070,25,1.21,6,0.29,1.5,17.45,45.04,20451,10.12
6,55011,Buffalo,72,8,11.11,2,2.78,13.89,37.2,59.43,935,7.7
7,55013,Burnett,61,1,1.64,0,0,1.64,16.21,42.23,949,6.43
8,55015,Calumet,119,5,4.2,1,0.84,5.04,19.65,39.3,4192,2.84
9,55017,Chippewa,349,6,1.72,2,0.57,2.29,27.3,53.05,4940,7.06
10,55019,Clark,144,1,0.69,0,0,0.69,35.26,60.35,3493,4.12
11,55021,Columbia,260,12,4.62,2,0.77,5.38,28.75,49.98,4146,6.27
12,55023,Crawford,60,0,0,1,1.67,1.67,31.96,53.19,1132,5.3
13,55025,Dane,2108,25,1.19,6,0.28,1.47,15.85,42.26,36450,5.78
14,55027,Dodge,505,24,4.75,5,0.99,5.74,34.8,55.2,6104,8.27
15,55029,Door,192,4,2.08,1,0.52,2.6,23.89,44.81,1505,12.76
16,55031,Douglas,318,2,0.63,2,0.63,1.26,34.94,59.24,3087,10.3
17,55033,Dunn,136,4,2.94,1,0.74,3.68,23.79,45.13,2920,4.66
18,55035,Eau Claire,684,6,0.88,4,0.58,1.46,23.88,50.78,6994,9.78
19,55037,Florence,8,1,12.5,0,0,12.5,17.85,44.21,231,3.46
20,55039,Fond du Lac,706,25,3.54,5,0.71,4.25,30.82,55.27,7211,9.79
21,55041,Forest,42,0,0,0,0,0,20.49,45.32,611,6.87
22,55043,Grant,183,2,1.09,2,1.09,2.19,34.45,61.11,3610,5.07
